manhwa_name,manhwa_synonym,manhwa_japanese,manhwa_english,manhwa_type,manhwa_volume,manhwa_chapters,manhwa_status,manhwa_published,manhwa_genre,manhwa_theme,manhwa_demographic,manhwa_serialization,manhwa_author,manhwa_score,manhwa_ranked,manhwa_popularity,manhwa_members,manhwa_favorites
Taste of Illness,"Byeong-ui Mat, Flavor's Bottle",병의 맛,Taste of Illness,Manhwa,3,15,Finished,"Aug  4, 2018 to Jan  26, 2019",DramaDrama,"PsychologicalPsychological,SchoolSchool",,Naver Webtoon,"Ha, Il-Kwon(Story & Art)","7.781(scored by13451,345 users)1indicates aweighted score.",#147922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5309,"4,531",69
Fight Class 3,"Gyeokgi 3-ban, Gyeoggi 3 Ban",격기 3 반,Fight Class 3,Manhwa,Unknown,Unknown,Publishing,"Aug  15, 2016 to ?",ActionAction,"Martial ArtsMartial Arts,SchoolSchool",,Comic Champ,Ihak(Story & Art),"7.771(scored by25412,541 users)1indicates aweighted score.",#152322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3181,"7,796",241
Goong,"Goong - The Royal Palace Story, Princess Hours",궁(宮),Goong,Manhwa,27,179,Finished,"Dec  2, 2002 to Dec  27, 2011","ComedyComedy,DramaDrama,RomanceRomance",HistoricalHistorical,ShoujoShoujo,Wink,"Park, So-Hee(Story & Art)","7.771(scored by42514,251 users)1indicates aweighted score.",#150622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2014,"11,936",264
Love in the Mask,,가면속의 사랑,,Manhwa,32,134,Finished,Not available,"ActionAction,ComedyComedy,RomanceRomance,Slice of LifeSlice of Life",CrossdressingCrossdressing,ShoujoShoujo,None,"Han, Yu-Rang(Story & Art)","7.771(scored by50405,040 users)1indicates aweighted score.",#151722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2320,"10,296",307
"Press Play, Sami","Sami Plays the Game, Sami-neun Jaesaenghada",삼이는 재생한다,"Press Play, Sami",Manhwa,Unknown,Unknown,Publishing,"Mar  20, 2024 to ?","DramaDrama,RomanceRomance",SchoolSchool,,Naver Webtoon,"Kang, Eun Young(Story & Art)",7.771(scored by423423 users)1indicates aweighted score.,#153022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#13444,"1,458",17
Plaything,A Sense of Amusement,놀이감,,Manhwa,Unknown,Unknown,Publishing,"Apr  22, 2024 to ?",SuspenseSuspense,"PsychologicalPsychological,SchoolSchool",,Naver Webtoon,Q Boi(Story & Art),"7.771(scored by10891,089 users)1indicates aweighted score.",#153122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5692,"4,207",79
"Father, Unrivaled","Peerless Dad, Abi Mussang",아비무쌍,"Father, Unrivaled",Manhwa,Unknown,296,Finished,"Oct  31, 2017 to Feb  12, 2024","ActionAction,FantasyFantasy",Martial ArtsMartial Arts,,Daum Webtoon,"Lee, Hyunseok(Art),No, Kyoungchan(Story)",7.771(scored by434434 users)1indicates aweighted score.,#153222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#15587,"1,186",10
I Don't Want to Play Matchmaker!,"I Don't Want to Be a Magpie Bridge, I Don't Want to Be an Ojakgyo",오작교는 싫습니다,I Don't Want to Play Matchmaker!,Manhwa,Unknown,Unknown,Publishing,"Dec  3, 2022 to ?","FantasyFantasy,RomanceRomance","IsekaiIsekai,ReincarnationReincarnation,Reverse HaremReverse Harem",,KakaoPage,"Sal-oreun Gopdungi(Story),Clover(Art)",7.771(scored by448448 users)1indicates aweighted score.,#152822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#11332,"1,837",32
Savage Garden,,새비지 가든,Savage Garden,Manhwa,7,29,Finished,2008 to May  2011,DramaDrama,"CrossdressingCrossdressing,HistoricalHistorical,SchoolSchool",,Issue,"Lee, Hyeon-Sook(Story & Art)","7.761(scored by24162,416 users)1indicates aweighted score.",#154922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4218,"5,860",103
Descended from Divinity,"The Heavenly Demon Can't Live a Normal Life, Cheonma-neun Pyeongbeom-hage Sal Su Eopda",천마는 평범하게 살 수 없다,Descended from Divinity,Manhwa,Unknown,Unknown,Publishing,"Jun  14, 2021 to ?","ActionAction,FantasyFantasy",ReincarnationReincarnation,,Naver Webtoon,"Sancheon(Story),Altoran(Art),Upu(Art)","7.761(scored by46714,671 users)1indicates aweighted score.",#155922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1487,"15,572",133
The Reaper,"Reaper of the Drifting Moon, Death God of the Drifting Moon, Grim Reaper's Floating Moon, Sasin Pyowol",사신표월,The Reaper,Manhwa,Unknown,Unknown,Publishing,"Jul  15, 2022 to ?","ActionAction,FantasyFantasy",Martial ArtsMartial Arts,,KakaoPage,"Woogack(Story),Inkyo(Art)","7.761(scored by57045,704 users)1indicates aweighted score.",#156122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1237,"17,929",148
The 100th Regression of the Max-Level Player,"The Max-Level Player's 100th Regression, Man-Level Player-ui 100-beonjjae Hoegwi",만렙 플레이어의 100번째 회귀,The 100th Regression of the Max-Level Player,Manhwa,Unknown,Unknown,Publishing,"Oct  31, 2023 to ?","ActionAction,FantasyFantasy","SurvivalSurvival,Time TravelTime Travel",,KakaoPage,"King Soda(Story),Duckf(Art)","7.761(scored by47254,725 users)1indicates aweighted score.",#156322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1296,"17,302",123
As the Heart Leads,As Your Heart Leads You,마음이 이끄는 대로,As the Heart Leads,Manhwa,Unknown,Unknown,Publishing,"Aug  16, 2024 to ?","FantasyFantasy,RomanceRomance,SupernaturalSupernatural","IsekaiIsekai,ReincarnationReincarnation",,KakaoPage,"Kim, Tilda(Story),Muneochu(Art)",7.761(scored by241241 users)1indicates aweighted score.,#153422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#18444,924,13
Princess,,프린세스,Princess,Manhwa,Unknown,Unknown,Publishing,1995 to ?,"AdventureAdventure,DramaDrama,FantasyFantasy",HistoricalHistorical,,Issue,"Han, Seung-Won(Story & Art)",7.751(scored by425425 users)1indicates aweighted score.,#158722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9700,"2,225",38
Witch Hunter,,위치헌터,Witch Buster,Manhwa,Unknown,Unknown,Publishing,2006 to ?,"ActionAction,ComedyComedy,FantasyFantasy,RomanceRomance,SupernaturalSupernatural,EcchiEcchi",,,Young Champ,"Jung-man, CHO(Story & Art)","7.751(scored by1037510,375 users)1indicates aweighted score.",#158922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#643,"31,792",685
"Father, I Don't Want This Marriage","Daddy, I Don't Want to Marry!, Appa, Na I Gyeolhon An Hallae-yo!","아빠, 나 이 결혼 안 할래요!","Father, I Don't Want This Marriage",Manhwa,Unknown,131,Finished,"Feb  24, 2021 to Apr  10, 2024","FantasyFantasy,RomanceRomance",VillainessVillainess,,KakaoPage,"Hong, Heesu(Story),Roal(Art)","7.751(scored by59085,908 users)1indicates aweighted score.",#160822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1597,"14,653",194
Beware the Villainess!,Geu Angnyeo-reul Josimhaseyo!,그 악녀를 조심하세요!,Beware the Villainess!,Manhwa,Unknown,128,Finished,"Apr  13, 2020 to Oct  9, 2022","ComedyComedy,FantasyFantasy,RomanceRomance","IsekaiIsekai,VillainessVillainess",,KakaoPage,"Ppongtta Mat Screw Bar(Story),Blue Canna(Art)","7.751(scored by96779,677 users)1indicates aweighted score.",#161022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#999,"21,531",344
Who Can Define Popularity?,Ingi-neun Mueonga Jalmotdoeeotda,인기는 무언가 잘못되었다,Who Can Define Popularity?,Manhwa,Unknown,86,Finished,"May  9, 2020 to Oct  26, 2022","Boys LoveBoys Love,ComedyComedy",SchoolSchool,,KakaoPage,Takbon(Story & Art),7.751(scored by610610 users)1indicates aweighted score.,#161122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12320,"1,647",22
Little Rabbit and the Big Bad Leopard,"The Symbiotic Relationship Between a Panther and a Rabbit, Tokki-wa Heukpyobeom-ui Gongsaeng Gwangye",토끼와 흑표범의 공생관계,Little Rabbit and the Big Bad Leopard,Manhwa,Unknown,206,Finished,"May  22, 2021 to Jan  9, 2026","FantasyFantasy,RomanceRomance",AnthropomorphicAnthropomorphic,,KakaoPage,"Yasik Meongneunjung(Story),Sadam(Art)","7.751(scored by22692,269 users)1indicates aweighted score.",#161322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3329,"7,446",89
Operation: True Love,"Pure Love Operation, Jakjeonmyeong Sunjeong",작전명 순정,Operation: True Love,Manhwa,Unknown,Unknown,Publishing,"Apr  8, 2022 to ?","RomanceRomance,SupernaturalSupernatural",SchoolSchool,,Naver Webtoon,"Kkokkalee(Story),Deuldeom(Art)","7.761(scored by57035,703 users)1indicates aweighted score.",#156022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1334,"16,833",516
Martial Wild West,"Wild West Murim, Murim Wild West, Murim Seobu",무림서부,,Manhwa,Unknown,Unknown,Publishing,"Sep  27, 2022 to ?","ActionAction,AdventureAdventure,FantasyFantasy","IsekaiIsekai,Martial ArtsMartial Arts,ReincarnationReincarnation",,Naver Webtoon,"Cup Ramyeon.(Story),Jeong, Hangil(Art)",7.751(scored by608608 users)1indicates aweighted score.,#161522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8307,"2,702",18
You're So Cool,You are So Cool,넌 너무 멋져,You're So Cool,Manhwa,6,34,Finished,2002 to  2007,"ComedyComedy,RomanceRomance",SchoolSchool,,None,"Lee, Young Hui(Story & Art)","7.741(scored by20562,056 users)1indicates aweighted score.",#164322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5514,"4,365",61
Running on Empty,Running Through the Sky,허공의 질주,,Manhwa,2,12,Finished,2008,Boys LoveBoys Love,,,None,"Kim, Jea-Eun(Story & Art)","7.741(scored by22182,218 users)1indicates aweighted score.",#164922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4850,"5,048",54
Bad Born Blood,,배드 본 블러드,Bad Born Blood,Manhwa,Unknown,Unknown,Publishing,"Nov  13, 2024 to ?","ActionAction,Sci-FiSci-Fi",MilitaryMilitary,,Naver Webtoon,"Baeksu Gwijok(Story),D-Park(Art)","7.741(scored by12161,216 users)1indicates aweighted score.",#162522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4159,"5,928",34
Tiger Coming In,Horangi Deureowayo,호랑이 들어와요,,Manhwa,Unknown,148,Finished,"Oct  26, 2020 to Dec  18, 2023","ComedyComedy,SupernaturalSupernatural",ChildcareChildcare,,Naver Webtoon,"Bae, Sehyuk(Story),Yueun(Art)",7.731(scored by257257 users)1indicates aweighted score.,#166922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#16274,"1,114",20
The First Night With the Duke,"I Stole the Male Lead's First Night, Namju-ui Cheonnalbam-eul Gajyeo Beoryeotda",남주의 첫날밤을 가져버렸다,The First Night With the Duke,Manhwa,Unknown,102,Finished,"Jul  7, 2020 to Jul  6, 2022","FantasyFantasy,RomanceRomance","IsekaiIsekai,ReincarnationReincarnation",,Naver Webtoon,"Hwang, Dotol(Story),MSG(Art)","7.731(scored by43254,325 users)1indicates aweighted score.",#167122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2596,"9,361",117
Delusion,Hyeonhok,현혹,Delusion,Manhwa,3,60,Finished,"Sep  26, 2019 to Oct  8, 2020","MysteryMystery,SupernaturalSupernatural,SuspenseSuspense","Adult CastAdult Cast,HistoricalHistorical,Visual ArtsVisual Arts",,Naver Webtoon,Hongjacga(Story & Art),7.731(scored by536536 users)1indicates aweighted score.,#167222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#11209,"1,859",32
Overgeared,Temppal,템빨,Overgeared,Manhwa,Unknown,Unknown,Publishing,"Apr  1, 2020 to ?","ActionAction,FantasyFantasy",Video GameVideo Game,,KakaoPage,"Park, Saenal(Story),Team Argo(Art)","7.731(scored by87438,743 users)1indicates aweighted score.",#167322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#805,"26,315",372
Couple Breaker,The Couple Breaker,커플브레이커,Couple Breaker,Manhwa,Unknown,80,Finished,"Jan  12, 2023 to Dec  12, 2024",RomanceRomance,,,Naver Webtoon,"Ki, Maenggi(Story),Taegeon(Art)","7.731(scored by16031,603 users)1indicates aweighted score.",#167522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6343,"3,746",55
Castle 2: Pinnacle,Castle 2: Manin Jisang,캐슬2:만인지상,,Manhwa,Unknown,Unknown,Publishing,"Mar  7, 2023 to ?",ActionAction,"Adult CastAdult Cast,Organized CrimeOrganized Crime",,Naver Webtoon,Jeong Yeon(Story & Art),7.731(scored by134134 users)1indicates aweighted score.,#167722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#22186,685,9
Dokgo,,독고,,Manhwa,6,Unknown,Finished,"Dec  7, 2012 to Feb  7, 2014","ActionAction,DramaDrama","DelinquentsDelinquents,SchoolSchool",,Sports Today Webtoon,"Baek, Seung Hoon(Art),Meen(Story)","7.731(scored by27492,749 users)1indicates aweighted score.",#169422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3782,"6,522",111
"Mom, I'm Sorry",Mama Mian,맘마미안,,Manhwa,Unknown,102,Finished,"Jun  8, 2019 to Jul  10, 2021","DramaDrama,SupernaturalSupernatural",,,Naver Webtoon,"MiTi(Story),Gugu(Art)","7.731(scored by21612,161 users)1indicates aweighted score.",#166822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4275,"5,783",78
"Nineteen, Twenty-One","19-21, Nineteen, Twenty One",열아홉스물하나,,Manhwa,2,21,Finished,"Aug  9, 2010 to Dec  27, 2010","RomanceRomance,Slice of LifeSlice of Life",,,Naver Webtoon,"Kim, Hye-Jin(Art),Yohan(Story)","7.731(scored by1010310,103 users)1indicates aweighted score.",#169822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#930,"23,270",327
Familyman,Family man,패밀리맨,,Manhwa,3,41,Finished,"Aug  7, 2009 to May  28, 2010","ComedyComedy,DramaDrama,RomanceRomance,Slice of LifeSlice of Life",,,Naver Webtoon,"Jung, Pil Won(Story & Art)",7.731(scored by880880 users)1indicates aweighted score.,#169922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9012,"2,442",33
The Pale Horse,,창백한 말,The Pale Horse,Manhwa,Unknown,307,Finished,"Sep  15, 2011 to Nov  18, 2020","DramaDrama,MysteryMystery,RomanceRomance,SupernaturalSupernatural",HistoricalHistorical,,Daum Webtoon,"Choo, Hae-Yun(Story & Art)",7.721(scored by987987 users)1indicates aweighted score.,#170522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4725,"5,186",79
The Novel's Extra,Soseol Sok Extra,소설 속 엑스트라,The Novel's Extra,Manhwa,Unknown,Unknown,Publishing,"Jun  30, 2022 to ?","ActionAction,FantasyFantasy","IsekaiIsekai,ReincarnationReincarnation,SchoolSchool",,KakaoPage,"Ji, Gapsong(Story),Carrot Studio(Art)","7.721(scored by80188,018 users)1indicates aweighted score.",#170722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#896,"23,963",276
Saving My Sweetheart,"A Way to Protect the Lovable You, Dajeonghan Geudaereul Jikineun Bangbeop",다정한 그대를 지키는 방법,Saving My Sweetheart,Manhwa,Unknown,167,Finished,"Mar  20, 2021 to Nov  3, 2025","DramaDrama,FantasyFantasy",Time TravelTime Travel,,KakaoPage,"Mayak Jelly(Story),Kim, Jiui(Art)","7.721(scored by20002,000 users)1indicates aweighted score.",#170822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3728,"6,620",64
Maru Is a Puppy,Maru-neun Gangjwi,마루는 강쥐,Maru Is a Puppy,Manhwa,Unknown,118,Finished,"Jun  13, 2022 to Sep  16, 2024","ComedyComedy,SupernaturalSupernatural","AnthropomorphicAnthropomorphic,ChildcareChildcare,Gag HumorGag Humor",,Naver Webtoon,Mojo(Story & Art),7.721(scored by121121 users)1indicates aweighted score.,#171022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#32773,320,11
I Was Mistaken as a Monstrous Genius Actor,"I Was Immediately Mistaken for a Monster Genius Actor, Daetteum Chakgak Danghaetda Goemul Cheonjae Baeu-ro",대뜸 착각당했다 괴물 천재배우로,,Manhwa,Unknown,Unknown,Publishing,"Aug  30, 2024 to ?",DramaDrama,ShowbizShowbiz,,Naver Webtoon,"Haega(Art),Jangtan(Story)",7.721(scored by741741 users)1indicates aweighted score.,#172922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7643,"3,005",24
Distant Sky,Simyeonui Hanuel,심연의 하늘,,Manhwa,10,114,Finished,"Jan  31, 2014 to Jun  24, 2018","ActionAction,DramaDrama,HorrorHorror,MysteryMystery",SurvivalSurvival,,Naver Webtoon,"Yoon, In-Wan(Story),Kim, Sun-hee(Art)","7.721(scored by32913,291 users)1indicates aweighted score.",#171722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2452,"9,816",218
The Count's Secret Maid,,백작가의 비밀스런 시녀님,The Count's Secret Maid,Manhwa,Unknown,Unknown,Publishing,"Sep  2, 2024 to ?","FantasyFantasy,RomanceRomance",,,Naver Webtoon,"Midnight Studio(Art),Baek, Jooah(Story)",7.711(scored by538538 users)1indicates aweighted score.,#177922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9850,"2,181",35
"The Children's Teacher, Mr. Kwon","Kids' Teacher Kwon, The Teacher of the Children, Mr. Kwon",아이들의 권 선생님,,Manhwa,6,83,Finished,"Apr  22, 2012 to Nov  23, 2013","DramaDrama,Slice of LifeSlice of Life","ChildcareChildcare,SchoolSchool,WorkplaceWorkplace",,Naver Webtoon,"Ho, Woo(Story & Art)","7.711(scored by11201,120 users)1indicates aweighted score.",#177422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6682,"3,521",34
Pyramid Game,,피라미드 게임,Pyramid Game,Manhwa,Unknown,105,Finished,"Jan  22, 2020 to Mar  25, 2022",DramaDrama,"PsychologicalPsychological,SchoolSchool",,Naver Webtoon,Dalgonyak(Story & Art),"7.711(scored by10091,009 users)1indicates aweighted score.",#177522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9750,"2,211",49
Plaza Wars,Gwangjang,광장,Plaza Wars,Manhwa,Unknown,63,Finished,"Sep  11, 2020 to Oct  15, 2021",ActionAction,"Adult CastAdult Cast,Organized CrimeOrganized Crime",,Naver Webtoon,"Oh, Se-hyung(Story),Kim, Gyuntae(Art)",7.711(scored by273273 users)1indicates aweighted score.,#177722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#18562,915,13
At the End of the Road,"What Lies At The End, Geu Kkeut-e Inneun Geot",그 끝에 있는 것,,Manhwa,4,26,Finished,"Sep  12, 2016 to Jan  8, 2018","Boys LoveBoys Love,DramaDrama,SuspenseSuspense","PsychologicalPsychological,ReincarnationReincarnation,SchoolSchool",,Lezhin Comics Webtoon,Haribo(Story & Art),"7.701(scored by60996,099 users)1indicates aweighted score.",#182622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1950,"12,409",283
Doctor Elise: The Royal Lady with the Lamp,"Oegwauisa Elise, Doctor Elise: Queen with a Scalpel",외과의사 엘리제,Doctor Elise: The Royal Lady with the Lamp,Manhwa,Unknown,156,Finished,"Sep  18, 2017 to Apr  9, 2024","FantasyFantasy,RomanceRomance","MedicalMedical,ReincarnationReincarnation",,KakaoPage,"Yuin(Story),mini(Art)","7.701(scored by1116311,163 users)1indicates aweighted score.",#183322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#879,"24,266",342
Yureka,,유레카,iD_eNTITY,Manhwa,41,266,Finished,2000 to  2013,"ActionAction,AdventureAdventure,FantasyFantasy",Video GameVideo Game,,Chance,"Son, Hee-Joon(Story),Kim, Youn-Kyung(Art)","7.701(scored by34063,406 users)1indicates aweighted score.",#181022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2635,"9,239",234
Nebula's Civilization,Seulgiroun Munmyeong Saenghwal,슬기로운 문명생활,Nebula's Civilization,Manhwa,Unknown,Unknown,Publishing,"Nov  29, 2023 to ?","AdventureAdventure,FantasyFantasy",,,Naver Webtoon,"Wirae(Story),Beomguin(Art)","7.711(scored by21602,160 users)1indicates aweighted score.",#177822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3252,"7,660",70
Solo Leveling: Ragnarok,Na Honjaman Level Up: Ragnarok,나 혼자만 레벨업 : 라그나로크,Solo Leveling: Ragnarok,Manhwa,Unknown,Unknown,Publishing,"Jul  31, 2024 to ?","ActionAction,AdventureAdventure,FantasyFantasy","Adult CastAdult Cast,Urban FantasyUrban Fantasy",,KakaoPage,"Daul(Story),Jin(Art)","7.701(scored by89898,989 users)1indicates aweighted score.",#184522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#584,"34,392",322
